line Motor1 Motor2 Motor3 Motor4 anglePITCH angleROLL clientPITCH clientROLL clientYAW inputPidPITCH inputPidROLL inputPidYAW outputPidPITCH outputPidROLL outputPidYAW Battery 
91 1149 1418 1050 1051 -8 43 40126 -208433 0 42726 37260 38200 20635 227724 120893 71  
92 1063 1219 1050 1066 -2 25 9426 -120892 0 31794 -11122 18616 16573 72770 80165 71  
93 1087 1094 1059 1051 1 12 -4946 -57473 0 3781 -12312 -9882 12422 35524 -6207 71  
94 1050 1349 1057 1051 6 4 -30979 -21173 0 45967 23985 28115 126558 63538 109709 71  
95 1050 1965 1050 1050 32 -1 -156239 8446 0 230837 148870 166911 385911 157703 390297 71  
96 1050 1654 1268 1268 79 -72 -377946 346699 0 215906 150282 163207 400000 -190284 400000 71  
97 1050 1498 1205 1077 81 74 -389453 -352539 0 -13444 -11701 -5889 284376 17642 185797 71  
98 1213 1051 1420 1050 59 14 -283279 -69346 0 -205669 -148702 -141652 -10273 -124182 -257487 71  
99 1495 1050 1403 1129 14 2 -68106 -11106 0 -267977 -205897 -194312 -261323 -214804 -400000 71  
100 1435 1050 1272 1079 -22 -11 105213 52299 0 -133676 -107101 -106507 -200158 -118709 -304300 71  
101 1068 1197 1056 1099 -20 -11 95379 54806 0 62282 44034 34699 21712 20395 85585 71  
102 1050 1241 1050 1169 -4 -8 19413 39559 0 61431 48265 49142 37191 -710 155588 71  
103 1073 1059 1056 1098 0 -2 -1119 11773 0 -11352 -2362 -3984 -23968 -15470 6982 71  
104 1060 1081 1056 1068 -2 0 9986 2426 0 1120 -1708 203 2493 -635 15879 71  
105 1050 1123 1051 1078 0 -1 1399 5879 0 17131 13142 10127 15384 8613 49696 71  
106 1052 1066 1053 1086 0 0 -3639 4199 0 -321 -571 -882 -3255 -11160 19279 71  
107 1053 1055 1054 1078 0 -1 1306 9239 0 -6266 -4598 -3395 -5855 -12247 9613 71  
108 1050 1081 1052 1084 0 -2 93 12693 0 4066 2620 4114 7341 -9006 32669 71  
109 1052 1072 1052 1093 0 -2 0 9799 0 813 866 1422 -3296 -10889 26631 71  
110 1050 1055 1052 1083 0 -2 0 10919 0 -5337 -3271 -2217 -4280 -13566 14974 71  
111 1050 1061 1050 1078 0 -2 0 9333 0 -37 103 -231 490 -8931 20274 71  
112 1050 1064 1050 1078 0 -2 0 9333 0 565 552 354 1194 -8139 22059 71  
113 1052 1065 1053 1082 0 -1 0 8679 0 67 181 126 -126 -8547 21558 71  
114 1051 1064 1052 1081 0 -1 0 9146 0 24 191 31 120 -8970 21294 71  
115 1050 1061 1050 1080 0 -2 0 9333 0 0 95 64 -45 -9218 21428 71  
116 1050 1061 1050 1080 0 -2 0 9333 0 -44 84 0 -47 -9262 21245 71  
117 1051 1065 1052 1080 0 -1 0 7839 0 10 138 28 9 -7695 21332 71  
118 1050 1061 1050 1080 0 -2 0 9333 0 4 121 52 20 -9259 21422 71  
119 1050 1061 1050 1079 0 -2 0 9333 0 -26 83 0 -57 -9199 21275 71  
120 1050 1061 1050 1080 0 -2 0 9333 0 -30 78 -10 -25 -9299 21244 71  
121 1050 1061 1050 1080 0 -2 0 9333 0 -40 81 10 -69 -9252 21306 71  
122 1050 1061 1050 1080 0 -2 0 9333 0 -20 50 9 58 -9282 21311 71  
123 1050 1061 1050 1079 0 -2 0 9333 0 31 103 21 13 -9120 21351 71  
124 1050 1061 1050 1080 0 -2 0 9333 0 14 90 45 31 -9316 21444 71  
125 1055 1069 1056 1084 0 -1 0 8492 0 -14 67 14 -88 -8501 21368 71  
126 1050 1061 1050 1079 0 -2 0 9333 0 -23 22 -29 26 -9158 21225 71  
127 1053 1067 1053 1081 0 -1 0 8119 0 -10 24 -27 -27 -6778 21216 71  
